ind_id,species,habitat,result,site
KDM18/001,Rattus satarae,Forest,1,Kadumane
KDM18/002,Rattus satarae,Forest,1,Kadumane
KDM18/003,Rattus satarae,Forest,0,Kadumane
KDM18/004,Rattus satarae,Forest,0,Kadumane
KDM18/005,Rattus satarae,Forest,0,Kadumane
KDM18/006,Rattus satarae,Forest,1,Kadumane
KDM18/007,Rattus satarae,Forest,0,Kadumane
KDM18/008,Rattus satarae,Forest,0,Kadumane
KDM18/009,Rattus satarae,Forest,1,Kadumane
KDM18/010,Rattus satarae,Forest,0,Kadumane
KDM18/011,Rattus satarae,Forest,0,Kadumane
KDM18/012,Mus cf fernandoni,Forest,0,Kadumane
KDM18/013,Rattus satarae,Forest,1,Kadumane
KDM18/014,Rattus satarae,Forest,1,Kadumane
KDM18/015,Rattus satarae,Forest,1,Kadumane
KDM18/016,Rattus satarae,Forest,1,Kadumane
KDM18/017,Mus cf fernandoni,Forest,1,Kadumane
KDM18/018,Rattus satarae,Forest,1,Kadumane
KDM18/019,Rattus satarae,Forest,1,Kadumane
KDM18/020,Rattus satarae,Forest,0,Kadumane
KDM18/021,Rattus satarae,Forest,1,Kadumane
KDM18/022,Rattus satarae,Forest,0,Kadumane
KDM18/023,Rattus satarae,Forest,0,Kadumane
KDM18/024,Rattus satarae,Forest,1,Kadumane
KDM18/025,Rattus satarae,Forest,0,Kadumane
KDM18/026,Rattus satarae,Forest,1,Kadumane
KDM18/027,Rattus satarae,Forest,1,Kadumane
KDM18/028,Rattus satarae,Forest,1,Kadumane
KDM18/029,Rattus satarae,Forest,1,Kadumane
KDM18/030,Rattus satarae,Forest,1,Kadumane
KDM18/031,Mus cf famulus,Forest,0,Kadumane
KDM18/032,Rattus satarae,Forest,1,Kadumane
KDM18/034,Mus cf famulus,Forest,1,Kadumane
KDM18/035,Rattus satarae,Forest,0,Kadumane
KDM18/036,Rattus satarae,Forest,1,Kadumane
KDM18/037,Rattus satarae,Forest,1,Kadumane
KDM18/038,Rattus satarae,Forest,1,Kadumane
KDM18/039,Rattus satarae,Forest,1,Kadumane
KDM18/040,Rattus satarae,Forest,1,Kadumane
KDM18/041,Rattus satarae,Forest,1,Kadumane
KDM18/042,Rattus satarae,Forest,1,Kadumane
KDM18/043,Rattus satarae,Forest,0,Kadumane
KDM18/044,Rattus satarae,Forest,1,Kadumane
KDM18/045,Rattus satarae,Forest,1,Kadumane
KDM18/046,Rattus satarae,Forest,0,Kadumane
KDM18/047,Rattus satarae,Forest,1,Kadumane
KDM18/048,Rattus satarae,Forest,1,Kadumane
KDM18/049,Rattus satarae,Forest,1,Kadumane
KDM18/050,Rattus satarae,Forest,1,Kadumane
KDM18/051,Rattus satarae,Forest,0,Kadumane
KDM18/052,Rattus satarae,Forest,1,Kadumane
KDM18/053,Rattus satarae,Forest,1,Kadumane
KDM18/054,Rattus satarae,Forest,1,Kadumane
KDM18/055,Rattus satarae,Forest,1,Kadumane
KDM18/056,Rattus satarae,Forest,1,Kadumane
KDM18/057,Rattus satarae,Forest,1,Kadumane
KDM18/058,Rattus satarae,Forest,1,Kadumane
KDM18/059,Rattus satarae,Forest,1,Kadumane
